nepali_date,english_date,tithi,festival,holiday,marriage_date,bratabandha,day_of_week
,,,,False,False,False,0
,,,,False,False,False,1
,,,,False,False,False,2
,,,,False,False,False,3
,,,,False,False,False,4
1,13,Ekadashi,"Jana Yudda Diwas, Radio Diwas",True,False,False,5
2,14,Dwadashi,Valentine Day,True,False,False,6
3,15,Trayodashi,Maha Shiva Ratri,True,False,False,0
4,16,Chaturdashi,,False,False,False,1
5,17,Aaunshi,,False,False,False,2
6,18,Pratipada,,False,False,False,3
7,19,Ditiya,Democracy Day,True,False,False,4
8,20,Tritiya,,False,False,False,5
9,21,Chaturthi,,False,False,False,6
10,22,Panchami,,False,False,False,0
11,23,Sasthi,,False,False,False,1
12,24,Saptami,,False,False,False,2
13,25,Nawami,,False,False,False,3
14,26,Dashami,,False,False,False,4
15,27,Ekadashi,Aamalaki Ekadashi,True,False,False,5
16,28,Dwadashi,,False,False,False,6
17,01,Trayodashi,,False,False,False,0
18,02,Chaturdashi,,False,False,False,1
19,03,Purnima,"Holy on Hilly Districts (Holidays in 56 districts of Himalayan, Hilly and inner Madhes)",True,False,False,2
20,04,Pratipada,Terai Holi (Holiday in 21 districts of Terai ),True,False,False,3
21,05,Ditiya,,False,False,False,4
22,06,Tritiya,,False,False,False,5
23,07,Chaturthi,,False,False,False,6
24,08,Panchami,International Womens Day,True,False,False,0
25,09,Sasthi,,False,False,False,1
26,10,Saptami,,False,False,False,2
27,11,Aastami,,False,False,False,3
28,12,Nawami,,False,False,False,4
29,13,Nawami,,False,False,False,5
30,14,Dashami,,False,False,False,6
