nepali_date,english_date,tithi,festival,holiday,marriage_date,bratabandha,day_of_week
,,,,False,False,False,0
,,,,False,False,False,1
1,17,Chaturdashi,"Bishwakarma Puja, Kumari Indra Jatra",True,False,False,2
2,18,Purnima,"Sohra Shradda Aarambha, Yanya Punhi:",True,False,False,3
3,19,Pratipada,"Constitution Day (National Day), Dwitiya Shradda",True,False,False,4
4,20,Tritiya,Tritiya Shradda,True,False,False,5
5,21,Chaturthi,"Churthi Shradda, Indradhwoj Patan",True,False,False,6
6,22,Panchami,Panchami Shradda,True,False,False,0
7,23,Sasthi,Shasthi Shradda,True,False,False,1
8,24,Saptami,Saptami Shradda,True,False,False,2
9,25,Aastami,"Jitiya Parba (Holiday for women who celebrates), Aastami Shradda",True,False,False,3
10,26,Nawami,Nawami Shradda,True,False,False,4
11,27,Dashami,Dashami Shradda,True,False,False,5
12,28,Ekadashi,"Indira Ekadashi Brat, Ekadashi Shradda",True,False,False,6
13,29,Dwadashi,Dwadashi Shradda,True,False,False,0
14,30,Trayodashi,"Trayodashi Shradda, Jumla Khalangama Chandannath ko Lingo Thadyaune",True,False,False,1
15,01,Chaturdashi,Chaturdashi Shradda,True,False,False,2
16,02,Aaunshi,"Aaunshi Shradda, Darsha Shradda",True,False,False,3
17,03,Pratipada,"Ghatasthapana, Navaratri Arambha",True,False,False,4
18,04,Ditiya,,False,False,False,5
19,05,Tritiya,,False,False,False,6
20,06,Chaturthi,,False,False,False,0
21,07,Chaturthi,,False,False,False,1
22,08,Panchami,,False,False,False,2
23,09,Sasthi,,False,False,False,3
24,10,Saptami,"Phulpati, Nawapatrika Prabesh",True,False,False,4
25,11,Aastami,"Maha Astami, Kaal Ratri",True,False,False,5
26,12,Dashami,"Bijayadashami, Dashain ko Tika 2081",True,False,False,6
27,13,Ekadashi,"Papangkusha Ekadashi Brat, Annapurna Yatra",True,False,False,0
28,14,Dwadashi,"Dwadashi, World Quality Day",True,False,False,1
29,15,Trayodashi,,False,False,False,2
30,16,Chaturdashi,"Kojagrat Brat, World Food Day",True,False,False,3
,,,,False,False,False,4
,,,,False,False,False,5
,,,,False,False,False,6
