nepali_date,english_date,tithi,festival,holiday,marriage_date,bratabandha,day_of_week
1,15,Chaturthi,,False,False,False,0
2,16,Panchami,,False,False,False,1
3,17,Sasthi,,False,False,False,2
4,18,Saptami,,False,False,False,3
5,19,Aastami,,False,False,False,4
6,20,Nawami,World Refugee Day,True,False,False,5
7,21,Ekadashi,Yogini Ekadashi,True,False,False,6
8,22,Dwadashi,,False,False,False,0
9,23,Trayodashi,,False,False,False,1
10,24,Chaturdashi,,False,False,False,2
11,25,Aaunshi,,False,False,False,3
12,26,Pratipada,,False,False,False,4
13,27,Ditiya,,False,False,False,5
14,28,Tritiya,,False,False,False,6
15,29,Chaturthi,Dahi Cheura Khane Din,True,False,False,0
16,30,Panchami,,False,False,False,1
17,01,Sasthi,,False,False,False,2
18,02,Saptami,,False,False,False,3
19,03,Aastami,,False,False,False,4
20,04,Nawami,,False,False,False,5
21,05,Dashami,,False,False,False,6
22,06,Ekadashi,Harisayani Ekadashi,True,False,False,0
23,07,Dwadashi,,False,False,False,1
24,08,Trayodashi,,False,False,False,2
25,09,Chaturdashi,,False,False,False,3
26,10,Purnima,,False,False,False,4
27,11,Pratipada,World Population Day,True,False,False,5
28,12,Ditiya,,False,False,False,6
29,13,Tritiya,Bhanu Jayanti,True,False,False,0
30,14,Chaturthi,,False,False,False,1
31,15,Panchami,,False,False,False,2
32,16,Sasthi,,False,False,False,3
,,,,False,False,False,4
,,,,False,False,False,5
,,,,False,False,False,6
