nepali_date,english_date,tithi,festival,holiday,marriage_date,bratabandha,day_of_week
,,,,False,False,False,0
1,14,Pratipada,New Year 2082,True,False,False,1
2,15,Ditiya,,False,False,False,2
3,16,Tritiya,,False,False,False,3
4,17,Chaturthi,,False,False,False,4
5,18,Panchami,,False,False,False,5
6,19,Sasthi,,False,False,False,6
7,20,Saptami,,False,False,False,0
8,21,Aastami,,False,False,False,1
9,22,Nawami,,False,False,False,2
10,23,Dashami,,False,False,False,3
11,24,Ekadashi,"Baruthini Ekadashi, Loktantra Diwas",True,False,False,4
12,25,Dwadashi,,False,False,False,5
13,26,Trayodashi,,False,False,False,6
14,27,Aaunshi,"Matatirtha Aaunshi, Aama ko Mukh Herne",True,False,False,0
15,28,Pratipada,,False,False,False,1
16,29,Ditiya,Parashuram Jayanti,True,False,False,2
17,30,Tritiya,Aakshyaya Tritiya,True,False,False,3
18,01,Chaturthi,World Workers Day,True,False,False,4
19,02,Panchami,,False,False,False,5
20,03,Sasthi,,False,False,False,6
21,04,Saptami,,False,False,False,0
22,05,Aastami,,False,False,False,1
23,06,Nawami,,False,False,False,2
24,07,Dashami,,False,False,False,3
25,08,Ekadashi,Mohini Ekadashi,True,False,False,4
26,09,Dwadashi,,False,False,False,5
27,10,Trayodashi,,False,False,False,6
28,11,Chaturdashi,,False,False,False,0
29,12,Purnima,"Gautam Buddha Jayanti, Chandi Purnima",True,False,False,1
30,13,Pratipada,,False,False,False,2
31,14,Ditiya,,False,False,False,3
,,,,False,False,False,4
,,,,False,False,False,5
,,,,False,False,False,6
