nepali_date,english_date,tithi,festival,holiday,marriage_date,bratabandha,day_of_week
,,,,False,False,False,0
,,,,False,False,False,1
1,16,Dwadashi,,False,False,False,2
2,17,Trayodashi,,False,False,False,3
3,18,Chaturdashi,,False,False,False,4
4,19,Aaunshi,,False,False,False,5
5,20,Aaunshi,,False,False,False,6
6,21,Pratipada,,False,False,False,0
7,22,Ditiya,,False,False,False,1
8,23,Tritiya,,False,False,False,2
9,24,Chaturthi,,False,False,False,3
10,25,Panchami,Christmas Day,True,False,False,4
11,26,Sasthi,,False,False,False,5
12,27,Saptami,,False,False,False,6
13,28,Aastami,,False,False,False,0
14,29,Nawami,,False,False,False,1
15,30,Ekadashi,"Putrada Ekadashi, Tamu Lhochar",True,False,False,2
16,31,Dwadashi,,False,False,False,3
17,01,Trayodashi,"New Year 2026 AD Starts, Rastriya Topi Diwas",True,False,False,4
18,02,Chaturdashi,,False,False,False,5
19,03,Purnima,"Shree Swasthani Brat Suru, Purnima Brat",True,False,False,6
20,04,Pratipada,,False,False,False,0
21,05,Ditiya,,False,False,False,1
22,06,Tritiya,,False,False,False,2
23,07,Chaturthi,,False,False,False,3
24,08,Sasthi,,False,False,False,4
25,09,Sasthi,,False,False,False,5
26,10,Saptami,,False,False,False,6
27,11,Aastami,"Prithvi Jayanti, Rastriya Ekata Diwas",True,False,False,0
28,12,Nawami,,False,False,False,1
29,13,Dashami,,False,False,False,2
,,,,False,False,False,3
,,,,False,False,False,4
,,,,False,False,False,5
,,,,False,False,False,6
