nepali_date,english_date,tithi,festival,holiday,marriage_date,bratabandha,day_of_week
30,15,Purnima,"Yomari Punhi, Udhauli Parba",True,False,False,0
,,,,False,False,False,1
,,,,False,False,False,2
,,,,False,False,False,3
,,,,False,False,False,4
,,,,False,False,False,5
1,16,Pratipada,,False,False,False,6
2,17,Ditiya,,False,False,False,0
3,18,Tritiya,,False,False,False,1
4,19,Chaturthi,Mangal Chauthi Brat,True,False,False,2
5,20,Panchami,World Children Day,True,False,False,3
6,21,Sasthi,Television Day,True,False,False,4
7,22,Saptami,,False,False,False,5
8,23,Aastami,Gorakhkali Puja,True,True,False,6
9,24,Nawami,,False,False,False,0
10,25,Dashami,Guheyshwori Yatra,True,False,False,1
11,26,Ekadashi,Uttpatika Ekadashi Brat,True,False,False,2
12,27,Dwadashi,,False,False,False,3
13,28,Trayodashi,,False,False,False,4
14,29,Trayodashi,Pashupati Nath Mela,True,False,False,5
15,30,Chaturdashi,"Balachaturdashi, Shatbij Chharne",True,False,False,6
16,01,Aaunshi,World AIDS Day,True,False,False,0
17,02,Pratipada,Gadhimai Mela Prarambha,True,False,False,1
18,03,Ditiya,Disability Day  (Holiday for people with Disability),True,False,False,2
19,04,Tritiya,,False,False,False,3
20,05,Chaturthi,,False,False,False,4
21,06,Panchami,"Bibah Panchami, Sita Bibah Panchami Mela",True,False,False,5
22,07,Sasthi,,False,False,False,6
23,08,Saptami,Gadhimai Bishesh Puja,True,False,False,0
24,09,Nawami,,False,False,False,1
25,10,Dashami,Human Rights Day,True,False,False,2
26,11,Ekadashi,Mokshyada Ekadashi,True,False,False,3
27,12,Dwadashi,,False,False,False,4
28,13,Trayodashi,,False,False,False,5
29,14,Chaturdashi,,False,False,False,6
