nepali_date,english_date,tithi,festival,holiday,marriage_date,bratabandha,day_of_week
,,,,False,False,False,0
,,,,False,False,False,1
,,,,False,False,False,2
1,14,Ekadashi,"Maghe Sankranti, Maghi Parba",True,False,False,3
2,15,Dwadashi,Rastriya Bhukampa Surakshya Diwas,True,False,False,4
3,16,Trayodashi,,False,False,False,5
4,17,Chaturdashi,,False,False,False,6
5,18,Aaunshi,,False,False,False,0
6,19,Pratipada,,False,False,False,1
7,20,Ditiya,,False,False,False,2
8,21,Tritiya,,False,False,False,3
9,22,Chaturthi,,False,False,False,4
10,23,Panchami,"Basanta Panchami, Basanta Shrawan",True,False,False,5
11,24,Sasthi,,False,False,False,6
12,25,Saptami,,False,False,False,0
13,26,Aastami,,False,False,False,1
14,27,Nawami,,False,False,False,2
15,28,Dashami,,False,False,False,3
16,29,Ekadashi,"Jaya Ekadashi, Sahid Diwas",True,False,False,4
17,30,Dwadashi,,False,False,False,5
18,31,Trayodashi,,False,False,False,6
19,01,Purnima,,False,False,False,0
20,02,Pratipada,,False,False,False,1
21,03,Ditiya,,False,False,False,2
22,04,Tritiya,,False,False,False,3
23,05,Chaturthi,,False,False,False,4
24,06,Panchami,,False,False,False,5
25,07,Sasthi,,False,False,False,6
26,08,Saptami,Bhanu Saptami,True,False,False,0
27,09,Aastami,,False,False,False,1
28,10,Aastami,,False,False,False,2
29,11,Nawami,,False,False,False,3
30,12,Dashami,,False,False,False,4
,,,,False,False,False,5
,,,,False,False,False,6
