nepali_date,english_date,tithi,festival,holiday,marriage_date,bratabandha,day_of_week
1,15,Ekadashi,Paap Mochani Ekadashi,True,False,False,0
2,16,Dwadashi,,False,False,False,1
3,17,Trayodashi,,False,False,False,2
4,18,Chaturdashi,,False,False,False,3
5,19,Aaunshi,Ghode Jatra (Holiday on Ktm. Valley),True,False,False,4
6,20,Ditiya,,False,False,False,5
7,21,Tritiya,,False,False,False,6
8,22,Chaturthi,,False,False,False,0
9,23,Panchami,,False,False,False,1
10,24,Sasthi,,False,False,False,2
11,25,Saptami,,False,False,False,3
12,26,Aastami,,False,False,False,4
13,27,Nawami,Ram Nawami,True,False,False,5
14,28,Dashami,,False,False,False,6
15,29,Ekadashi,Kamada Ekadashi,True,False,False,0
16,30,Dwadashi,,False,False,False,1
17,31,Trayodashi,,False,False,False,2
18,01,Chaturdashi,,False,False,False,3
19,02,Purnima,,False,False,False,4
20,03,Pratipada,,False,False,False,5
21,04,Ditiya,,False,False,False,6
22,05,Tritiya,,False,False,False,0
23,06,Chaturthi,,False,False,False,1
24,07,Panchami,,False,False,False,2
25,08,Sasthi,,False,False,False,3
26,09,Saptami,,False,False,False,4
27,10,Aastami,,False,False,False,5
28,11,Nawami,,False,False,False,6
29,12,Dashami,,False,False,False,0
30,13,Ekadashi,Baruthini Ekadashi,True,False,False,1
,,,,False,False,False,2
,,,,False,False,False,3
,,,,False,False,False,4
,,,,False,False,False,5
,,,,False,False,False,6
