nepali_date,english_date,tithi,festival,holiday,marriage_date,bratabandha,day_of_week
1,17,Nawami,,False,False,False,0
2,18,Dashami,,False,False,False,1
3,19,Ekadashi,Ajaa Ekadashi,True,False,False,2
4,20,Dwadashi,,False,False,False,3
5,21,Trayodashi,,False,False,False,4
6,22,Chaturdashi,,False,False,False,5
7,23,Aaunshi,"Kushe Aaunshi, Buba ko Mukh Herne Din",True,False,False,6
8,24,Pratipada,,False,False,False,0
9,25,Ditiya,,False,False,False,1
10,26,Tritiya,"Haritalika Brat, Teej (Holiday for Women Only)",True,False,False,2
11,27,Chaturthi,Ganesh Chaturthi,True,False,False,3
12,28,Panchami,"Rishi Panchami, Saptarshi Puja",True,False,False,4
13,29,Sasthi,,False,False,False,5
14,30,Saptami,,False,False,False,6
15,31,Aastami,Maha Laxmi Brat Aarambha,True,False,False,0
16,01,Nawami,,False,False,False,1
17,02,Dashami,,False,False,False,2
18,03,Ekadashi,Haripariwartini Ekadashi,True,False,False,3
19,04,Dwadashi,,False,False,False,4
20,05,Trayodashi,,False,False,False,5
21,06,Chaturdashi,Indra Jatra (Holiday in Ktm. Only),True,False,False,6
22,07,Purnima,Nijamati Sewa Diwas,True,False,False,0
23,08,Pratipada,Sohra Shradda Aarambha,True,False,False,1
24,09,Ditiya,,False,False,False,2
25,10,Tritiya,,False,False,False,3
26,11,Chaturthi,,False,False,False,4
27,12,Panchami,,False,False,False,5
28,13,Sasthi,,False,False,False,6
29,14,Aastami,Mahalaxmi Brat Samapti,True,False,False,0
30,15,Nawami,,False,False,False,1
31,16,Dashami,,False,False,False,2
,,,,False,False,False,3
,,,,False,False,False,4
,,,,False,False,False,5
,,,,False,False,False,6
